symbol	section	namespace	name	GMSJ01	GMSJ01.size	GMSE01	GMSE01.size	GMSP01	GMSP01.size	GMSJ0A	GMSJ0A.size
@4890	.rodata	Enemy	@4890	8039F648	11						
@5263	.rodata	Enemy	@5263	8039F654	16						
@5264	.rodata	Enemy	@5264	8039F664	21						
@5265	.rodata	Enemy	@5265	8039F67C	24	8038158C	16	80378FF4	16	80371964	16
@5346	.rodata	Enemy	@5346	8039F694	12						
@5347	.rodata	Enemy	@5347	8039F6A0	15						
@5348	.rodata	Enemy	@5348	8039F6B0	14	803815CC	12	80379034	12	803719A4	12
@5349	.rodata	Enemy	@5349	8039F6C0	14	803815D8	15	80379040	15	803719B0	15
@5350	.rodata	Enemy	@5350	8039F6D0	17	803815E8	14	80379050	14	803719C0	14
@5351	.rodata	Enemy	@5351	8039F6E4	16	803815F8	14	80379060	14	803719D0	14
@5352	.rodata	Enemy	@5352	8039F6F4	16	80381608	17	80379070	17	803719E0	17
@5353	.rodata	Enemy	@5353	8039F704	14	8038161C	16	80379084	16	803719F4	16
@5354	.rodata	Enemy	@5354	8039F714	16	8038162C	16	80379094	16	80371A04	16
@5355	.rodata	Enemy	@5355	8039F724	21	8038163C	14	803790A4	14	80371A14	14
@5356	.rodata	Enemy	@5356	8039F73C	17	8038164C	16	803790B4	16	80371A24	16
@5357	.rodata	Enemy	@5357	8039F750	17	8038165C	21	803790C4	21	80371A34	21
@5358	.rodata	Enemy	@5358	8039F764	12	80381674	17	803790DC	17	80371A4C	17
@5360	.rodata	Enemy	@5360	8039F770	14	8038169C	12	80379104	12	80371A74	12
@5361	.rodata	Enemy	@5361	8039F780	13						
@1490	.rodata	Enemy	@1490	8039F790	12	803816C8	12	80379130	12	80371AA0	12
@1700	.rodata	Enemy	@1700	8039F79C	20	803816D4	20	8037913C	20	80371AAC	20
@1797	.rodata	Enemy	@1797	8039F7B0	47	803816E8	47	80379150	47	80371AC0	47
@1798	.rodata	Enemy	@1798	8039F7E0	53	80381718	53	80379180	53	80371AF0	53
@1799	.rodata	Enemy	@1799	8039F818	49	80381750	49	803791B8	49	80371B28	49
@1800	.rodata	Enemy	@1800	8039F84C	36	80381784	36	803791EC	36	80371B5C	36
