symbol	section	namespace	name	GMSJ01	GMSJ01.size	GMSE01	GMSE01.size	GMSP01	GMSP01.size	GMSJ0A	GMSJ0A.size
memset	.init	Runtime.PPCEABI.H	memset	80003100	48	80003100	48	80003100	48	80003100	48
__fill_mem	.init	Runtime.PPCEABI.H	__fill_mem	80003130	196	80003130	196	80003130	196	80003130	196
memcpy	.init	Runtime.PPCEABI.H	memcpy	800031F4	80	800031F4	80	800031F4	80	800031F4	80
TRK_memcpy	.init	TRK_MINNOW_DOLPHIN	TRK_memcpy	80003244	36	80003244	36	80003244	36	80003244	36
TRK_memset	.init	TRK_MINNOW_DOLPHIN	TRK_memset	80003268	48	80003268	48	80003268	48	80003268	48
__TRK_reset	.init	TRK_MINNOW_DOLPHIN	__TRK_reset	800051CC	32	800051CC	32	800051CC	32	800051CC	32
__check_pad3	.init	os	__check_pad3	800051EC	64	800051EC	64	800051EC	64	800051EC	64
__start	.init	os	__start	8000522C	312	8000522C	312	8000522C	312	8000522C	312
__init_registers	.init	os	__init_registers	80005364	28	80005364	28	80005364	28	80005364	28
__init_data	.init	os	__init_data	80005380	192	80005380	192	80005380	192	80005380	192
__init_hardware	.init	os	__init_hardware	80005440	32	80005440	32	80005440	32	80005440	32
__flush_cache	.init	os	__flush_cache	80005460	52	80005460	52	80005460	52	80005460	52
@152	extab	Runtime.PPCEABI.H	@152	80005540	8	80005540	8	80005540	8	80005540	8
@157	extab	Runtime.PPCEABI.H	@157	80005548	8	80005548	8	80005548	8	80005548	8
@174	extab	Runtime.PPCEABI.H	@174	80005550	24	80005550	24	80005550	24	80005550	24
@182	extab	Runtime.PPCEABI.H	@182	80005568	8	80005568	8	80005568	8	80005568	8
@201	extab	Runtime.PPCEABI.H	@201	80005570	24	80005570	24	80005570	24	80005570	24
@153	extabindex	Runtime.PPCEABI.H	@153	800055A0	12	800055A0	12	800055A0	12	800055A0	12
@158	extabindex	Runtime.PPCEABI.H	@158	800055AC	12	800055AC	12	800055AC	12	800055AC	12
@175	extabindex	Runtime.PPCEABI.H	@175	800055B8	12	800055B8	12	800055B8	12	800055B8	12
@183	extabindex	Runtime.PPCEABI.H	@183	800055C4	12	800055C4	12	800055C4	12	800055C4	12
@202	extabindex	Runtime.PPCEABI.H	@202	800055D0	12	800055D0	12	800055D0	12	800055D0	12
main	.text	main	main	80005600	68	80005600	68	80005600	68	80005600	68
__sinit_main_cpp	.text	main	__sinit_main_cpp	80005644	40	80005644	40	80005644	40	80005644	40
inv_sqrt__Q29JGeometry8TUtil<f>Ff	.text	JGeometry::TUtil<float><float>	inv_sqrt			80005A54	52	80005A54	52	80005A54	52
scale__Q29JGeometry8TVec3<f>Ff	.text	JGeometry::TVec3<float><float>	scale			80005A88	40	80005A88	40	80005A88	40
sqrt__Q29JGeometry8TUtil<f>Ff	.text	JGeometry::TUtil<float><float>	sqrt			800067E8	56	800067E8	56	800067E8	56
dot__Q29JGeometry8TVec3<f>CFRCQ29JGeometry8TVec3<f>	.text	JGeometry::TVec3<float><float>	dot			80006820	40	80006820	40	80006820	40
__dt__9TPathNodeFv	.text	TPathNode	~TPathNode			80006A2C	64	80006A2C	64	80006A2C	64
__dt__Q26JDrama8TViewObjFv	.text	JDrama::TViewObj	~TViewObj			80006A6C	100	80006A6C	100	80006A6C	100
restoreDrawBuffer__13TEnemyManagerFUl	.text	TEnemyManager	restoreDrawBuffer			80006BC4	4	80006BC4	4	80006BC4	4
changeDrawBuffer__13TEnemyManagerFUl	.text	TEnemyManager	changeDrawBuffer			80006BC8	4	80006BC8	4	80006BC8	4
__ct__Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>Fv	.text	JGeometry::TMatrix34<JGeometry::SMatrix34C<float><float>>	TMatrix34			80006D88	4	80006D88	4	80006D88	4
__dt__10TTakeActorFv	.text	TTakeActor	~TTakeActor			80006D8C	132	80006D8C	132	80006D8C	132
__dt__9THitActorFv	.text	THitActor	~THitActor			80006E10	108	80006E10	108	80006E10	108
__dt__31TNerveWaitForever<10TLiveActor>Fv	.text	TNerveWaitForever<TLiveActor>	~TNerveWaitForever			80007170	92	80007170	92	80007170	92
__dt__24TNerveBase<10TLiveActor>Fv	.text	TNerveBase<TLiveActor>	~TNerveBase			800071CC	76	800071CC	76	800071CC	76
ensureTakeSituation__10TTakeActorFv	.text	TTakeActor	ensureTakeSituation			80007CFC	68	80007D58	68	80007D58	68
moveRequest__10TTakeActorFRCQ29JGeometry8TVec3<f>	.text	TTakeActor	moveRequest			80007D40	32	80007D9C	32	80007D9C	32
getRadiusAtY__10TTakeActorCFf	.text	TTakeActor	getRadiusAtY			80007D60	8	80007DBC	8	80007DBC	8
receiveMessage__9THitActorFP9THitActorUl	.text	THitActor	receiveMessage			80007D68	8	80007DC4	8	80007DC4	8
getType__Q26JDrama6TActorCFv	.text	JDrama::TActor	getType			80007D70	8	80007DCC	8	80007DCC	8
getPhaseShift__11TSpineEnemyCFv	.text	TSpineEnemy	getPhaseShift			80007DFC	8	80007E58	8	80007E58	8
isReachedToGoal__11TSpineEnemyCFv	.text	TSpineEnemy	isReachedToGoal			80007E04	184	80007E60	184	80007E60	184
execute__31TNerveWaitForever<10TLiveActor>CFP24TSpineBase<10TLiveActor>	.text	TNerveWaitForever<TLiveActor>	execute			80007F58	8	80007FB4	8	80007FB4	8
@32@JSGSetRotation__Q26JDrama6TActorFRC3Vec	.text	JDrama::TActor	JSGSetRotation			80007F80	8	80007FDC	8	80007FDC	8
@32@JSGGetRotation__Q26JDrama6TActorCFP3Vec	.text	JDrama::TActor	JSGGetRotation			80007F88	8	80007FE4	8	80007FE4	8
@32@JSGSetScaling__Q26JDrama6TActorFRC3Vec	.text	JDrama::TActor	JSGSetScaling			80007F90	8	80007FEC	8	80007FEC	8
@32@JSGGetScaling__Q26JDrama6TActorCFP3Vec	.text	JDrama::TActor	JSGGetScaling			80007F98	8	80007FF4	8	80007FF4	8
@32@JSGSetTranslation__Q26JDrama6TActorFRC3Vec	.text	JDrama::TActor	JSGSetTranslation			80007FA0	8	80007FFC	8	80007FFC	8
@32@JSGGetTranslation__Q26JDrama6TActorCFP3Vec	.text	JDrama::TActor	JSGGetTranslation			80007FA8	8	80008004	8	80008004	8
@32@__dt__10TTakeActorFv	.text	TTakeActor	~TTakeActor			80007FB0	8	8000800C	8	8000800C	8
__ct__Q29JGeometry8TVec4<f>Fv	.text	JGeometry::TVec4<float><float>	TVec4			80008430	4	8000848C	4	8000848C	4
__ct__Q37JGadget36TList<Pv,Q27JGadget14TAllocator<Pv>>8iteratorFRCQ37JGadget36TList<Pv,Q27JGadget14TAllocator<Pv>>8iterator	.text	JGadget::TList<Pv\,Q27JGadget14TAllocator<Pv>>::iterator	iterator			80008F5C	12	80008FB8	12	80008FB8	12
__ct__Q37JGadget36TList<Pv,Q27JGadget14TAllocator<Pv>>8iteratorFPQ37JGadget36TList<Pv,Q27JGadget14TAllocator<Pv>>6TNode_	.text	JGadget::TList<Pv\,Q27JGadget14TAllocator<Pv>>::iterator	iterator			80008F68	8	80008FC4	8	80008FC4	8
CLBChaseGeneralConstantSpecifySpeed<f>__FPfff	.text	Animal	CLBChaseGeneralConstantSpecifySpeed			80009400	124	8000945C	124	8000945C	124
__dt__26JSUList<15JALSeModVolFunk>Fv	.text	JSUList<JALSeModVolFunk>	~JSUList			80009778	88	800097D4	88	800097D4	88
__dt__26JSUList<15JALSeModPitFunk>Fv	.text	JSUList<JALSeModPitFunk>	~JSUList			800097D0	88	8000982C	88	8000982C	88
__dt__26JSUList<15JALSeModEffFunk>Fv	.text	JSUList<JALSeModEffFunk>	~JSUList			80009828	88	80009884	88	80009884	88
__dt__26JSUList<15JALSeModVolDist>Fv	.text	JSUList<JALSeModVolDist>	~JSUList			80009880	88	800098DC	88	800098DC	88
__dt__26JSUList<15JALSeModPitDist>Fv	.text	JSUList<JALSeModPitDist>	~JSUList			800098D8	88	80009934	88	80009934	88
__dt__26JSUList<15JALSeModEffDist>Fv	.text	JSUList<JALSeModEffDist>	~JSUList			80009930	88	8000998C	88	8000998C	88
__dt__26JSUList<15JALSeModVolFGrp>Fv	.text	JSUList<JALSeModVolFGrp>	~JSUList			80009988	88	800099E4	88	800099E4	88
__dt__26JSUList<15JALSeModPitFGrp>Fv	.text	JSUList<JALSeModPitFGrp>	~JSUList			800099E0	88	80009A3C	88	80009A3C	88
__dt__26JSUList<15JALSeModEffFGrp>Fv	.text	JSUList<JALSeModEffFGrp>	~JSUList			80009A38	88	80009A94	88	80009A94	88
__dt__26JSUList<15JALSeModVolDGrp>Fv	.text	JSUList<JALSeModVolDGrp>	~JSUList			80009A90	88	80009AEC	88	80009AEC	88
__dt__26JSUList<15JALSeModPitDGrp>Fv	.text	JSUList<JALSeModPitDGrp>	~JSUList			80009AE8	88	80009B44	88	80009B44	88
__dt__26JSUList<15JALSeModEffDGrp>Fv	.text	JSUList<JALSeModEffDGrp>	~JSUList			80009B40	88	80009B9C	88	80009B9C	88
__dt__21JSUList<10MSSetSound>Fv	.text	JSUList<MSSetSound>	~JSUList			80009B98	88	80009BF4	88	80009BF4	88
__dt__24JSUList<13MSSetSoundGrp>Fv	.text	JSUList<MSSetSoundGrp>	~JSUList			80009BF0	88	80009C4C	88	80009C4C	88
__dt__15JSUList<5MSBgm>Fv	.text	JSUList<MSBgm>	~JSUList			80009C48	88	80009CA4	88	80009CA4	88
__dt__18TAnimalManagerBaseFv	.text	TAnimalManagerBase	~TAnimalManagerBase			80009F58	100	80009FB4	100	80009FB4	100
pop__23TSolidStack<9TPathNode>Fv	.text	TSolidStack<TPathNode>	pop			8000AA5C	120	8000AAB8	120	8000AAB8	120
CLBPalFrame<i>__Fi	.text	Animal	CLBPalFrame			8000AB38	88	8000AB94	88	8000AB94	88
CLBRoundf<i>__Ff	.text	Animal	CLBRoundf			8000AB90	52	8000ABEC	52	8000ABEC	52
appear__11TMapObjBaseFv	.text	TMapObjBase	appear			8000B770	44	8000B7CC	44	8000B7CC	44
getLatestNerve__24TSpineBase<10TLiveActor>CFv	.text	TSpineBase<TLiveActor>	getLatestNerve			8000D44C	28	8000D4A8	28	8000D4A8	28
__ct__24TNerveBase<10TLiveActor>Fv	.text	TNerveBase<TLiveActor>	TNerveBase			8000D560	16	8000D5BC	16	8000D5BC	16
SMS_EasyEmitParticle<27E_SMS_EFFECT_ONETIME_NORMAL>__F27E_SMS_EFFECT_ONETIME_NORMALPCQ29JGeometry8TVec3<f>PCvRCQ29JGeometry8TVec3<f>	.text	Animal	SMS_EasyEmitParticle			8000E3A4	128	8000E400	128	8000E400	128
isWaterSurface__12TBGCheckDataCFv	.text	TBGCheckData	isWaterSurface			8000EC78	52	8000ECD4	52	8000ECD4	52
scale__Q29JGeometry8TVec4<f>FfRCQ29JGeometry8TVec4<f>	.text	JGeometry::TVec4<float><float>	scale			8001059C	52	800105F8	52	800105F8	52
dot__Q29JGeometry8TVec4<f>CFRCQ29JGeometry8TVec4<f>	.text	JGeometry::TVec4<float><float>	dot			800105D0	52	8001062C	52	8001062C	52
sub__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>	.text	JGeometry::TVec3<float><float>	sub			80010CA0	52	80010CFC	52	80010CFC	52
identity33__Q29JGeometry64TRotation3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>Fv	.text	JGeometry::TRotation3<JGeometry::TMatrix34<JGeometry::SMatrix34C<float><float>>>	identity33			800110FC	48	80011158	48	80011158	48
__ct__Q29JGeometry13SMatrix34C<f>Fv	.text	JGeometry::SMatrix34C<float><float>	SMatrix34C			8001112C	4	80011188	4	80011188	4
setRotate__Q29JGeometry9TQuat4<f>FRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>f	.text	JGeometry::TQuat4<float><float>	setRotate			80011130	348	8001118C	348	8001118C	348
scale__Q29JGeometry8TVec3<f>FfRCQ29JGeometry8TVec3<f>	.text	JGeometry::TVec3<float><float>	scale			8001128C	40	800112E8	40	800112E8	40
sqrtf__3stdFf	.text	std	sqrtf			80012C1C	100	80012C78	100	80012C78	100
startAnimSound__14MAnmSoundMarioFPvUlPP8JAISoundP8JAIActorUc	.text	MAnmSoundMario	startAnimSound			80012C80	248	80012CDC	248	80012CDC	248
getDistPowFromCamera__6MSoundFRC3Vec	.text	MSound	getDistPowFromCamera			800151C8	136	80015224	136	80015224	136
getLoadFlagPtr__Q28JASystem15TSimpleWaveBankFv	.text	JASystem::TSimpleWaveBank	getLoadFlagPtr			800154F0	8	8001554C	8	8001554C	8
getLoadFlagPtr__Q38JASystem14TBasicWaveBank10TWaveGroupFv	.text	JASystem::TBasicWaveBank::TWaveGroup	getLoadFlagPtr			800154F8	8	80015554	8	80015554	8
calcGrp__34JALSeModDataGrp<15JALSeModPitFGrp>FUlfPf	.text	JALSeModDataGrp<JALSeModPitFGrp>	calcGrp			80016084	100	800160E0	100	800160E0	100
calcDyna__31JALSeModData<15JALSeModPitFGrp>Ff	.text	JALSeModData<JALSeModPitFGrp>	calcDyna			800160E8	56	80016144	56	80016144	56
calc__31JALSeModData<15JALSeModVolFunk>FUlfPf	.text	JALSeModData<JALSeModVolFunk>	calc			80016120	100	8001617C	100	8001617C	100
calcDyna__31JALSeModData<15JALSeModVolFunk>Ff	.text	JALSeModData<JALSeModVolFunk>	calcDyna			80016184	56	800161E0	56	800161E0	56
search__30JALListS<15JALSeModVolFunk,Ul>FUl	.text	JALListS<JALSeModVolFunk\,unsigned_long><JALSeModVolFunk\,unsigned_long>	search			800161BC	52	80016218	52	80016218	52
searchGroup__54JALListGrp<15JALSeModPitFGrp,Ul,19JALSeModDataGrpMemb>FUl	.text	JALListGrp<JALSeModPitFGrp\,unsigned_long\,JALSeModDataGrpMemb><JALSeModPitFGrp\,unsigned_long\,JALSeModDataGrpMemb>	searchGroup			800161F0	92	8001624C	92	8001624C	92
__ct__9JADPrm<f>FfPCc	.text	JADPrm<float><float>	JADPrm			8001A7F8	8	8001A854	8	8001A854	8
__ct__Q29JGeometry8TVec3<f>Fv	.text	JGeometry::TVec3<float><float>	TVec3			800210DC	4	80021194	4		
CLBLinearInbetween<f>__Ffff	.text	Camera	CLBLinearInbetween			800210E0	12	80021198	12		
CLBRoundf<s>__Ff	.text	Camera	CLBRoundf			800210EC	52	800211A4	52		
CLBCalcRatio<s>__Fsss	.text	Camera	CLBCalcRatio			80022A80	104	80022B38	104		
getType__Q26JDrama7TCameraCFv	.text	JDrama::TCamera	getType			80022FD0	8	80023088	8		
setLength__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>f	.text	JGeometry::TVec3<float><float>	setLength			800233E8	164	800234A0	164		
__dt__Q26JDrama13TLookAtCameraFv	.text	JDrama::TLookAtCamera	~TLookAtCamera			800260C4	108	8002617C	108		
__dt__Q26JDrama10TPlacementFv	.text	JDrama::TPlacement	~TPlacement			80026130	116	800261E8	116		
__ct__Q26JDrama8TViewObjFPCc	.text	JDrama::TViewObj	TViewObj			800261A4	92	8002625C	92		
CLBCalcRatio<l>__Flll	.text	Camera	CLBCalcRatio			80026298	92	80026350	92		
CLBCalcRatio<f>__Ffff	.text	Camera	CLBCalcRatio			800262F4	40	800263AC	40		
CLBChaseGeneralConstantSpecifySpeed<s>__FPsss	.text	Camera	CLBChaseGeneralConstantSpecifySpeed			8002631C	124	800263D4	124		
@32@JSGSetFlag__Q26JDrama7TCameraFUl	.text	JDrama::TCamera	JSGSetFlag			80026398	8	80026450	8		
@32@JSGGetFlag__Q26JDrama7TCameraCFv	.text	JDrama::TCamera	JSGGetFlag			800263A0	8	80026458	8		
@32@JSGSetViewTargetPosition__Q26JDrama13TLookAtCameraFRC3Vec	.text	JDrama::TLookAtCamera	JSGSetViewTargetPosition			800263A8	8	80026460	8		
@32@JSGGetViewTargetPosition__Q26JDrama13TLookAtCameraCFP3Vec	.text	JDrama::TLookAtCamera	JSGGetViewTargetPosition			800263B0	8	80026468	8		
@32@JSGSetViewUpVector__Q26JDrama13TLookAtCameraFRC3Vec	.text	JDrama::TLookAtCamera	JSGSetViewUpVector			800263B8	8	80026470	8		
@32@JSGGetViewUpVector__Q26JDrama13TLookAtCameraCFP3Vec	.text	JDrama::TLookAtCamera	JSGGetViewUpVector			800263C0	8	80026478	8		
@32@JSGSetViewPosition__Q26JDrama13TLookAtCameraFRC3Vec	.text	JDrama::TLookAtCamera	JSGSetViewPosition			800263C8	8	80026480	8		
@32@JSGGetViewPosition__Q26JDrama13TLookAtCameraCFP3Vec	.text	JDrama::TLookAtCamera	JSGGetViewPosition			800263D0	8	80026488	8		
@32@JSGSetProjectionAspect__Q26JDrama13TLookAtCameraFf	.text	JDrama::TLookAtCamera	JSGSetProjectionAspect			800263D8	8	80026490	8		
@32@JSGGetProjectionAspect__Q26JDrama13TLookAtCameraCFv	.text	JDrama::TLookAtCamera	JSGGetProjectionAspect			800263E0	8	80026498	8		
@32@JSGSetProjectionFovy__Q26JDrama13TLookAtCameraFf	.text	JDrama::TLookAtCamera	JSGSetProjectionFovy			800263E8	8	800264A0	8		
@32@JSGGetProjectionFovy__Q26JDrama13TLookAtCameraCFv	.text	JDrama::TLookAtCamera	JSGGetProjectionFovy			800263F0	8	800264A8	8		
@32@JSGSetProjectionFar__Q26JDrama7TCameraFf	.text	JDrama::TCamera	JSGSetProjectionFar			800263F8	8	800264B0	8		
@32@JSGGetProjectionFar__Q26JDrama7TCameraCFv	.text	JDrama::TCamera	JSGGetProjectionFar			80026400	8	800264B8	8		
@32@JSGSetProjectionNear__Q26JDrama7TCameraFf	.text	JDrama::TCamera	JSGSetProjectionNear			80026408	8	800264C0	8		
@32@JSGGetProjectionNear__Q26JDrama7TCameraCFv	.text	JDrama::TCamera	JSGGetProjectionNear			80026410	8	800264C8	8		
@32@JSGSetProjectionType__Q26JDrama13TLookAtCameraFQ26JStage18TECameraProjection	.text	JDrama::TLookAtCamera	JSGSetProjectionType			80026418	8	800264D0	8		
@32@JSGGetProjectionType__Q26JDrama13TLookAtCameraCFv	.text	JDrama::TLookAtCamera	JSGGetProjectionType			80026420	8	800264D8	8		
CLBChaseConstantSpecifyFrame<f>__FPfff	.text	Camera	CLBChaseConstantSpecifyFrame			80026E84	48	80026F3C	48		
add__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>	.text	JGeometry::TVec3<float><float>	add			800287B8	52	80028870	52		
getGunAngle__11TNozzleBaseFv	.text	TNozzleBase	getGunAngle			8002919C	8	80029254	8		
CLBSquared<f>__Ff	.text	Camera	CLBSquared			80029D54	8	80029E0C	8		
CLBTwoDegreeGeneralInbetween<s>__Fssff	.text	Camera	CLBTwoDegreeGeneralInbetween			8002A380	104	8002A438	104		
JMASCos__Fs	.text	Camera	JMASCos			8002D73C	28	8002D7F4	28		
JMASSin__Fs	.text	Camera	JMASSin			8002D758	28	8002D810	28		
set__Q29JGeometry8TVec3<f>FRC3Vec	.text	JGeometry::TVec3<float><float>	set			8002D774	28	8002D82C	28		
__dt__12J3DFrameCtrlFv	.text	J3DFrameCtrl	~J3DFrameCtrl			8002E1A8	76	8002E260	76		
__ct__Q29JGeometry8TVec2<f>Fv	.text	JGeometry::TVec2<float><float>	TVec2			8002F7C4	4	8002F87C	4		
__ct__Q26JDrama10TFlagT<Us>FUs	.text	Camera	__ct__Q26JDrama10TFlagT<Us>FUs			8002F7DC	8	8002F894	8		
__ct__Q26JDrama8TNameRefFPCc	.text	JDrama::TNameRef	TNameRef			8002F7E4	72	8002F89C	72		
__dt__16TCubeManagerBaseFv	.text	TCubeManagerBase	~TCubeManagerBase			8002F834	116	8002F8EC	116		
__dt__54TNameRefPtrAryT<16TCubeGeneralInfo,Q26JDrama8TNameRef>Fv	.text	TNameRefPtrAryT<TCubeGeneralInfo\,JDrama::TNameRef>	~TNameRefPtrAryT			800300A4	120	8003015C	120		
__dt__14TCameraMapToolFv	.text	TCameraMapTool	~TCameraMapTool			8003011C	100	800301D4	100		
__dt__16TCubeGeneralInfoFv	.text	TCubeGeneralInfo	~TCubeGeneralInfo			80030850	100	80030908	100		
getTransform__18J3DAnmTransformKeyCFUsP16J3DTransformInfo	.text	J3DAnmTransformKey	getTransform			80031E88	48	80031F40	48		
__dt__13TSimpleEffectFv	.text	TSimpleEffect	~TSimpleEffect			80038C30	108	80038CE8	108	8002509C	108
__dt__6TMarioFv	.text	TMario	~TMario			80039AE0	208	80039B98	208	80025F4C	208
update__24TSpineBase<10TLiveActor>Fv	.text	TSpineBase<TLiveActor>	update			8003C8A8	264	8003C6F8	264	80028AAC	264
SpcTrace__FPCce	.text	Enemy	SpcTrace			8003DB3C	80	8003D98C	80	80029D40	80
__dt__29TSpcTypedBinary<10TLiveActor>Fv	.text	TSpcTypedBinary<TLiveActor>	~TSpcTypedBinary			8003DB8C	100	8003D9DC	100	80029D90	100
__ct__Q37JGadget26TList_pointer<P9THitActor>8iteratorFQ37JGadget36TList<Pv,Q27JGadget14TAllocator<Pv>>8iterator	.text	JGadget::TList_pointer<P9THitActor>::iterator	iterator			8003ED9C	12	8003EBEC	12	8002AFA0	12
end__Q27JGadget36TList<Pv,Q27JGadget14TAllocator<Pv>>Fv	.text	JGadget::TList<void*\,JGadget::TAllocator<void*>>	end			8003EDA8	12	8003EBF8	12	8002AFAC	12
__dt__12TLiveManagerFv	.text	TLiveManager	~TLiveManager			8003F06C	132	8003EEBC	132	8002B270	132
getGraph__12TGraphTracerCFv	.text	TGraphTracer	getGraph			80041294	8	800410F8	8	8002D498	8
__ct__Q29JGeometry38TMatrix44<Q29JGeometry13SMatrix44C<f>>Fv	.text	JGeometry::TMatrix44<JGeometry::SMatrix44C<float><float>>	TMatrix44			800412B8	4	8004111C	4	8002D4BC	4
__dt__20JSUMemoryInputStreamFv	.text	JSUMemoryInputStream	~JSUMemoryInputStream			800442E8	116	80044160	116	800304EC	116
__dt__20JSURandomInputStreamFv	.text	JSURandomInputStream	~JSURandomInputStream			8004435C	100	800441D4	100	80030560	100
__dt__10JSUIosBaseFv	.text	JSUIosBase	~JSUIosBase			800443C0	76	80044238	76	800305C4	76
__dt__19J3DMtxCalcSoftimageFv	.text	J3DMtxCalcSoftimage	~J3DMtxCalcSoftimage			80044A24	144	8004489C	144	80030C28	144
__dt__15J3DMtxCalcBasicFv	.text	J3DMtxCalcBasic	~J3DMtxCalcBasic			80044AB4	104	8004492C	104	80030CB8	104
__dt__12J3DFrameCtrlFv	.text	J3DFrameCtrl	~J3DFrameCtrl							80030D20	76
__ct__12J3DFrameCtrlFv	.text	J3DFrameCtrl	J3DFrameCtrl			80044B1C	64	80044994	64	80030D6C	64
__dt__24M3UMtxCalcSIAnmBlendQuatFv	.text	M3UMtxCalcSIAnmBlendQuat	~M3UMtxCalcSIAnmBlendQuat			80044B5C	188	800449D4	188	80030DAC	188
__ct__24M3UMtxCalcSIAnmBlendQuatFv	.text	M3UMtxCalcSIAnmBlendQuat	M3UMtxCalcSIAnmBlendQuat			80044C18	36	80044A90	36	80030E68	36
__dt__11J3DTexNoAnmFv	.text	J3DTexNoAnm	~J3DTexNoAnm			80044C3C	76	80044AB4	76	80030E8C	76
__ct__11J3DTexNoAnmFv	.text	J3DTexNoAnm	J3DTexNoAnm			80044C88	28	80044B00	28	80030ED8	28
init__10J3DMtxCalcFRC3VecRA3_A4_Cf	.text	J3DMtxCalc	init			80044FA0	4	80044E18	4	800311F0	4
recursiveUpdate__10J3DMtxCalcFP7J3DNode	.text	J3DMtxCalc	recursiveUpdate			80044FA4	4	80044E1C	4	800311F4	4
recursiveCalc__10J3DMtxCalcFP7J3DNode	.text	J3DMtxCalc	recursiveCalc			80044FA8	4	80044E20	4	800311F8	4
recursiveEntry__10J3DMtxCalcFP7J3DNode	.text	J3DMtxCalc	recursiveEntry			80044FAC	4	80044E24	4	800311FC	4
calcTransform__10J3DMtxCalcFUsRC16J3DTransformInfo	.text	J3DMtxCalc	calcTransform			80044FB0	4	80044E28	4	80031200	4
calc__10J3DMtxCalcFUs	.text	J3DMtxCalc	calc			80044FB4	4	80044E2C	4	80031204	4
getMtxCalc__19M3UModelCommonMarioFRC17M3UMtxCalcSetInfo	.text	M3UModelCommonMario	getMtxCalc			80044FB8	28	80044E30	28	80031208	28
@112@drawSyncCallback__6TMarioFUs	.text	TMario	drawSyncCallback			800452D8	8	80045150	8	80031528	8
__dt__13J3DMtxCalcAnmFv	.text	J3DMtxCalcAnm	~J3DMtxCalcAnm			800453AC	128	80045158	128	80031530	128
init__19J3DMtxCalcSoftimageFRC3VecRA3_A4_Cf	.text	J3DMtxCalcSoftimage	init			8004542C	80	800451D8	80	800315B0	80
__dt__22J3DMtxCalcSoftimageAnmFv	.text	J3DMtxCalcSoftimageAnm	~J3DMtxCalcSoftimageAnm			8004564C	268	80045228	268	80031600	268
__ct__13J3DMtxCalcAnmFP15J3DAnmTransform	.text	J3DMtxCalcAnm	J3DMtxCalcAnm			80045758	100	80045334	100	8003170C	100
add__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>	.text	JGeometry::TVec3<float><float>	add							80031770	52
calc__22J3DMtxCalcSoftimageAnmFUs	.text	J3DMtxCalcSoftimageAnm	calc			800461BC	36	80045398	36	800317A4	36
@104@4@calc__22J3DMtxCalcSoftimageAnmFUs	.text	J3DMtxCalcSoftimageAnm	calc			800461E0	20	800453BC	20	800317C8	20
@104@4@calcTransform__19J3DMtxCalcSoftimageFUsRC16J3DTransformInfo	.text	J3DMtxCalcSoftimage	calcTransform			800461F4	20	800453D0	20	800317DC	20
@104@4@recursiveEntry__15J3DMtxCalcBasicFP7J3DNode	.text	J3DMtxCalcBasic	recursiveEntry			80046208	20	800453E4	20	800317F0	20
@104@4@recursiveCalc__15J3DMtxCalcBasicFP7J3DNode	.text	J3DMtxCalcBasic	recursiveCalc			8004621C	20	800453F8	20	80031804	20
@104@4@recursiveUpdate__15J3DMtxCalcBasicFP7J3DNode	.text	J3DMtxCalcBasic	recursiveUpdate			80046230	20	8004540C	20	80031818	20
@104@4@init__19J3DMtxCalcSoftimageFRC3VecRA3_A4_Cf	.text	J3DMtxCalcSoftimage	init			80046244	20	80045420	20	8003182C	20
@80@calc__22J3DMtxCalcSoftimageAnmFUs	.text	J3DMtxCalcSoftimageAnm	calc			80046258	8	80045434	8	80031840	8
@80@__dt__22J3DMtxCalcSoftimageAnmFv	.text	J3DMtxCalcSoftimageAnm	~J3DMtxCalcSoftimageAnm			80046260	8	8004543C	8	80031848	8
__dt__12TWalkerEnemyFv	.text	TWalkerEnemy	~TWalkerEnemy			80049E1C	132	80048F70	132	8003537C	132
__ct__Q26JDrama10TFlagT<Us>FUs	.text	Enemy	__ct__Q26JDrama10TFlagT<Us>FUs							800356A0	8
__ct__Q26JDrama8TNameRefFPCc	.text	JDrama::TNameRef	TNameRef							800356A8	72
__dt__18TSmallEnemyManagerFv	.text	TSmallEnemyManager	~TSmallEnemyManager			8004A430	100	80049584	100	800359E0	100
__dt__6TGessoFv	.text	TGesso	~TGesso			8004AB7C	156	80049CD0	156	8003612C	156
__dt__12TSharedPartsFv	.text	TSharedParts	~TSharedParts			80050550	116	8004F6A4	116	8003BB00	116
doKeepDistance__11TSmallEnemyFv	.text	TSmallEnemy	doKeepDistance			80058A6C	8	80057BC0	8	8004401C	8
moveTrans__17TMapCollisionBaseFRCQ29JGeometry8TVec3<f>	.text	TMapCollisionBase	moveTrans			8005C278	4	80058624	4	80044A80	4
getTransform__15J3DAnmTransformCFUsP16J3DTransformInfo	.text	J3DAnmTransform	getTransform			8005E548	4	80058628	4	80044A84	4
__ct__Q29JGeometry8TVec3<f>Fv	.text	JGeometry::TVec3<float><float>	TVec3							800476BC	4
